lat,lng
11.10233945,76.96486491
11.10234761,76.96489111
11.10235578,76.96491732
11.10236395,76.96494352
11.10237212,76.96496973
11.10238028,76.96499593
11.10238845,76.96502213
11.10239662,76.96504834
11.10240479,76.96507454
11.10241295,76.96510075
11.10242112,76.96512695
11.10242929,76.96515315
11.10243746,76.96517936
11.10244562,76.96520556
11.10245379,76.96523177
11.10246196,76.96525797
11.10247013,76.96528418
11.10247829,76.96531038
11.10248646,76.96533658
11.10249463,76.96536279
11.10246905,76.96537152
11.10244347,76.96538025
11.10241788,76.96538899
11.102395,76.96540355
11.10237212,76.96541812
11.10234923,76.96543268
11.10232635,76.96544724
11.10231821,76.96547346
11.10230775,76.9654988
11.1022996,76.96552501
11.10229212,76.96555143
11.10228719,76.96557846
11.10228225,76.96560549
11.1022868,76.96563259
11.10228927,76.96565997
11.10229493,76.96568685
11.10230058,76.96571373
11.10231211,76.96573859
11.10232364,76.96576345
11.10233496,76.96578841
11.10234627,76.96581337
11.10236705,76.9658309
11.10238783,76.96584843
11.10241299,76.96585836
11.10243815,76.96586829
11.10246456,76.96587391
11.10249097,76.96587953
11.10251795,76.96587929
11.10254493,76.96587906
11.10257191,76.96587882
11.10259799,76.96587179
11.10262407,76.96586476
11.10264508,76.96588202
11.10265489,76.96590763
11.10265965,76.96593469
11.10266442,76.96596176
11.10266918,76.96598882
11.10267732,76.96601503
11.10268545,76.96604125
11.10269358,76.96606746
11.10266775,76.96607538
11.10264379,76.96608802
11.10261983,76.96610066
11.10259444,76.96610995
11.10256911,76.96611943
11.10254217,76.96612082
11.10251522,76.96612222
11.10249236,76.96610762
11.1024695,76.96609301
11.10244368,76.96608505
11.10242617,76.96610596
11.10240866,76.96612688
11.10242531,76.96614852
11.10244196,76.96617015
11.10245518,76.96619412
11.10246234,76.96622063
11.1024695,76.96624713
11.10247666,76.96627364
11.10248382,76.96630015
11.10249098,76.96632666
11.10249814,76.96635317
11.1025053,76.96637968
11.10251246,76.96640618
11.10253398,76.96642276
11.10255551,76.96643933
11.10257851,76.96642495
11.1026015,76.96641057
11.1026245,76.96639619
11.10264749,76.96638181
11.10267049,76.96636743
11.10269073,76.96634926
11.10271097,76.96633108
11.10273122,76.9663129
11.10274756,76.96629103
11.1027639,76.96626915
11.10278024,76.96624727
11.10278483,76.96622018
11.10278941,76.96619308
11.102794,76.96616599
11.10279737,76.96613871
