latitude,longitude
53.3245474,9.876795653
53.32453927,9.876782829
53.32453458,9.876781572
53.32453189,9.876779644
53.32448077,9.877015343
53.3244863,9.877068065
53.3244987,9.877110478
53.3245039,9.87717594
53.32448253,9.877251042
53.32446593,9.877324551
53.3244614,9.877432929
53.32446836,9.877557317
53.32447758,9.877685476
53.32449828,9.877791759
53.32451253,9.877879601
53.32452812,9.877971886
53.32455528,9.878070624
53.32460004,9.878159389
53.32465394,9.878269862
53.32469056,9.878410008
53.32471781,9.878556943
53.32474505,9.878706643
53.32477522,9.878856931
53.32480389,9.879009146
53.32483641,9.879167229
53.32487815,9.879328329
53.3249235,9.879481131
53.32496868,9.879623875
53.32500866,9.879753543
53.32504562,9.879891174
53.32508896,9.880037522
53.32513011,9.88017532
53.32515442,9.880281352
53.32518895,9.880366428
53.32523162,9.880413534
53.32527009,9.88043583
53.32529264,9.880455024
53.32530169,9.8804681
53.325312,9.880483439
53.32532801,9.880516045
53.32535206,9.880558038
53.3253783,9.880603468
53.32540663,9.880644288
53.3254363,9.880706901
53.32547025,9.880774543
53.32550059,9.880842436
53.32553345,9.880922483
53.32556547,9.880994735
53.32559606,9.881082578
53.32561718,9.881093139
53.32562925,9.881068664
53.32562548,9.881016025
53.32561475,9.880956011
53.32560352,9.880903289
53.32559254,9.880850818
53.32557946,9.880781667
53.32555943,9.880708326
53.3255394,9.880642528
53.32552783,9.88058419
53.32552792,9.880550243
53.32552448,9.880507998
53.32551769,9.880449744
53.32552255,9.880419401
53.32560252,9.880489055
53.32563814,9.88054513
53.3256772,9.880607994
53.32571366,9.880685275
53.32573889,9.88076482
53.32576789,9.880832881
53.32579698,9.880902786
53.32582858,9.880922232
53.32583243,9.88088225
53.32581407,9.88081201
53.3257989,9.880724754
53.32578541,9.880640181
53.32576638,9.880574467
53.32575305,9.880513027
53.3257373,9.880459048
53.32572229,9.88040641
53.32570804,9.880353436
53.32570192,9.88030633
53.32570813,9.880264336
53.32572707,9.88020516
53.32576018,9.880131315
53.32577493,9.88001422
53.3257642,9.879877511
53.32574224,9.879744491
53.32573763,9.879621109
53.32574107,9.879513402
53.3257435,9.879426733
53.32574383,9.879328581
53.32574266,9.879253143
53.32573931,9.879183238
53.32572321,9.879108975
53.32570142,9.879022557
53.32567711,9.878933877
53.32566647,9.878843939
53.32565591,9.878745452
53.32563361,9.878633218
53.32560671,9.878512686
53.32559103,9.878376899
53.32557988,9.87823952
53.32559472,9.87810256
53.32564317,9.877986554
53.32570737,9.877885804
53.32577225,9.877785388
53.3258295,9.877684722
53.32588607,9.877582882
53.32594123,9.877484562
53.32600024,9.877393199
53.3260595,9.877298986
53.32611666,9.877200164
53.32616603,9.877102515
53.32622093,9.877006626
53.32627508,9.876911826
53.32633568,9.876825996
53.32639829,9.876745529
53.32646174,9.876675708
53.32652997,9.876620555
53.32659015,9.876559703
53.32665369,9.876511339
53.32672108,9.876471609
53.32679384,9.876436656
53.32687112,9.876403129
53.32690875,9.876385527
53.32700632,9.876338756
53.32706306,9.876303552
53.32710858,9.876273712
53.32714034,9.876251081
53.327167,9.876234233
53.32718703,9.876227109
53.32720363,9.876220319
53.32722005,9.876216128
53.3272286,9.876210848
53.32723321,9.876208166
53.32730488,9.876159718
53.32733883,9.876148319
53.32738057,9.876110014
53.32740773,9.876015885
53.32742105,9.875878925
53.32741234,9.875751184
53.32739054,9.875634089
53.3273685,9.875516575
53.32733883,9.875391014
53.32731343,9.875275092
53.32728501,9.875161936
53.32725945,9.875062024
53.32723447,9.874957334
53.32720991,9.874840993
53.32718787,9.87473689
53.32719499,9.874670422
53.32720941,9.874631697
53.32721092,9.874591967
53.32721,9.874566235
53.32720388,9.874525582
53.32719122,9.874470178
53.32718267,9.874418629
53.32717203,9.874363057
53.32715216,9.874297678
53.32711813,9.874238335
53.327066,9.874196593
53.32700414,9.874161472
53.3269515,9.874083772
53.32689718,9.873983441
53.32684991,9.873884702
53.32680741,9.873768864
53.32675947,9.873647913
53.32671278,9.873527884
53.32665721,9.873404922
53.32660155,9.873278942
53.32655244,9.873151453
53.3264993,9.873023881
53.32645194,9.872893039
53.32641992,9.872759851
53.32638262,9.87262222
53.32634884,9.872484337
53.32631079,9.872342097
53.32626879,9.8721903
53.32622747,9.872042276
53.32618749,9.871899867
53.32614834,9.871753352
53.3261082,9.871601807
53.3260662,9.871446658
53.32602228,9.871294443
53.32598046,9.871145831
53.32594232,9.870996969
53.32590669,9.870856069
53.3258735,9.870716426
53.32584542,9.870582987
53.32580661,9.870444937
53.32576797,9.870296577
53.32573419,9.870146792
53.3257031,9.870001869
53.32566043,9.869844876
53.32562054,9.869688554
53.32558081,9.869529214
53.32554376,9.869374819
53.32550721,9.869227214
53.32547268,9.869088661
53.3254394,9.86895958
53.32540428,9.868790517
53.32540495,9.868702926
53.32540026,9.868651042
53.32539364,9.868621789
53.32536522,9.868587842
53.32533061,9.868519278
53.32530638,9.868420288
53.325283,9.868322723
53.32525735,9.868229935
53.32523103,9.868128011
53.32520329,9.868023237
53.32518107,9.867911674
53.32516188,9.867782258
53.32514612,9.867640268
53.32513765,9.867490567
53.32513573,9.867343381
53.32514428,9.867204744
53.32515568,9.867072478
53.32516959,9.866947923
53.32521577,9.866865026
53.32528962,9.866834013
53.32537344,9.86680937
53.3254581,9.866785649
53.32554057,9.866762347
53.32562481,9.866737453
53.32570662,9.866711888
53.32577954,9.866697388
53.32584324,9.866691017
53.32589379,9.866685234
53.32594684,9.86668339
53.32600669,9.866670733
53.32606377,9.866657071
53.3261175,9.86663444
53.32618036,9.866617676
53.32624985,9.86660569
53.32632386,9.866595296
53.32639955,9.866581466
53.3264775,9.866573839
53.32655545,9.866566127
53.32663273,9.86655104
53.32670859,9.866526732
53.32678252,9.866501503
53.32686081,9.866483985
53.32693976,9.866473842
53.3270214,9.866465628
53.3271074,9.866452469
53.32719105,9.866442075
53.32726942,9.866429418
53.3273452,9.866409218
53.32742248,9.866394633
53.32750219,9.866376193
53.3275819,9.866352221
53.32765558,9.866331266
53.32773001,9.866309054
53.32780939,9.866286088
53.32788692,9.866269156
53.32796169,9.866249794
53.32804265,9.866238311
53.32812186,9.866224229
53.3282061,9.866207801
53.32829512,9.866187684
53.32836938,9.866165891
53.3284335,9.866146362
53.32848907,9.866095902
53.32853509,9.865998421
53.32858513,9.865866071
53.32863861,9.865722489
53.32869049,9.86557371
53.32873835,9.865415376
53.32878714,9.865269782
53.32884053,9.865125865
53.32888856,9.864966609
53.32892275,9.86482881
53.32894572,9.864724623
53.32896953,9.864628231
53.32899316,9.864524212
53.32901588,9.864429245
53.32904513,9.864341654
53.32907178,9.864252051
53.32909919,9.864161778
53.32912535,9.864068655
53.32916055,9.863971509
53.32918754,9.863863047
53.32920103,9.863754334
53.32919357,9.863637658
53.32918947,9.863572866
53.3291919,9.863536237
53.32920807,9.863523832
53.32924445,9.863513103
53.32929131,9.863501033
53.32935082,9.863488963
53.32940765,9.863477061
53.32946221,9.863478318
53.3295239,9.863470523
53.32958526,9.863456692
53.3296498,9.863444371
53.32971677,9.863435403
53.32978349,9.863427104
53.32984787,9.863430206
53.32990956,9.863420986
53.3299653,9.863416124
53.3300145,9.863402713
53.33005372,9.863384608
53.33008717,9.86336315
53.33012564,9.863323504
53.33016814,9.86327271
53.33021357,9.863224765
53.33025757,9.863177491
53.33030904,9.86313248
53.33036008,9.863083195
53.33040417,9.863042627
53.33044633,9.862997113
53.33048212,9.862962328
53.33051649,9.862927711
53.33054507,9.86290005
53.33057676,9.862867696
53.33060794,9.862843472
53.33063618,9.862819752
53.33065957,9.862791002
53.33068614,9.86277692
53.33071447,9.862767952
53.33074708,9.862764264
53.33079041,9.862733753
53.33082536,9.862660496
53.33083835,9.862567373
53.33084011,9.862483637
53.33083131,9.862414319
53.33081606,9.862350449
53.33079519,9.862281382
53.33076736,9.862192785
53.33073819,9.862098405
53.33071749,9.861996397
53.33069511,9.861884667
53.3306801,9.861768158
53.33067088,9.861645279
53.33067315,9.861538494
53.3306734,9.861437073
53.33067424,9.861339591
53.33067533,9.861251079
53.33067994,9.86116969
53.33067901,9.861103557
53.33067667,9.861086709
53.33067684,9.861082602
53.33067231,9.860990401
53.33067038,9.860919407
53.33066736,9.860837934
53.33065471,9.860747997
53.33060768,9.860668369
53.33053476,9.860631069
53.33045807,9.86062495
53.33037232,9.860632326
53.33028976,9.860650934
53.3302098,9.860671302
53.33013587,9.860687815
53.33005465,9.860711535
53.32996488,9.860743303
53.32988148,9.860774903
53.32979623,9.860801808
53.32970579,9.860828295
53.32961217,9.860860985
53.32951862,9.860890489
53.32942341,9.860921167
53.32932458,9.860948408
53.32923121,9.860973135
53.32912635,9.860987384
53.32901755,9.86098906
53.32890641,9.860975901
53.32879409,9.860958802
53.32867683,9.860942624
53.32855831,9.860923011
53.32843711,9.860873139
53.32831691,9.860820752
53.32819445,9.860781441
53.32807191,9.860743051
53.32795104,9.860708518
53.32783386,9.860673398
53.32771777,9.860640708
53.32760763,9.860610953
53.32750269,9.860587483
53.32739884,9.86056108
53.32729365,9.860532666
53.32719047,9.860504838
53.32708745,9.86047525
53.32698327,9.860441051
53.32688117,9.860405428
53.3267821,9.860367291
53.32667992,9.860327812
53.32657725,9.86027794
53.32647733,9.860228151
53.326377,9.86017216
53.32627273,9.860114995
53.32616938,9.860057579
53.32606905,9.859998319
53.32596738,9.859935706
53.32586688,9.859872423
53.32576898,9.859806877
53.32567569,9.859741833
53.32558081,9.859681316
53.32548433,9.859625995
53.32539012,9.859567238
53.32529909,9.859509068
53.32520337,9.859461877
53.32510614,9.859425249
53.32501444,9.859444862
53.32493397,9.859477049
53.32485418,9.859464308
